director,href,director_birthYr,director_cn
Catherine Breillat,https://www.imdb.com//name/nm0106924/,1948-7-13,"Bressuire, Deux-Sèvres, France"
 Lee Unkrich,https://www.imdb.com//name/nm0881279/,1967-8-8,"Cleveland, Ohio, USA"
Noah Baumbach,https://www.imdb.com//name/nm0000876/,1969-9-3,"Brooklyn, New York City, New York, USA"
Warwick Thornton,https://www.imdb.com//name/nm0861610/,1970-7-23,"Alice Springs, Northern Territory, Australia"
Alain Gomis,https://www.imdb.com//name/nm0327120/,1972-0-0,"Paris, France"
Joshua Oppenheimer,https://www.imdb.com//name/nm1484791/,1974-9-23,"Texas, USA"
Jonathan Glazer,https://www.imdb.com//name/nm0322242/,1965-3-26,"London, England, UK"
Philip Kaufman,https://www.imdb.com//name/nm0442241/,1936-10-23,"Chicago, Illinois, USA"
Yaron Shani,https://www.imdb.com//name/nm1760871/,1973-0-0,"Tel Aviv, Israel"
Pietro Marcello,https://www.imdb.com//name/nm2754122/,1976-7-2,"Caserta, Campania, Italy"
Mia Hansen-Løve,https://www.imdb.com//name/nm0361135/,1981-2-5,"Paris, France"
Philip Gröning,https://www.imdb.com//name/nm0344973/,1959-4-7,"Düsseldorf, West Germany"
Sion Sono,https://www.imdb.com//name/nm0814469/,1961-12-18,"Toyokawa, Aichi, Japan"
Hany Abu-Assad,https://www.imdb.com//name/nm0009463/,1961-10-11,"Nazareth, Israel"
Roy Andersson,https://www.imdb.com//name/nm0027815/,1943-3-31,"Gothenburg, Västra Götalands län, Sweden"
Todd Haynes,https://www.imdb.com//name/nm0001331/,1961-1-2,"Los Angeles, California, USA"
Patty Jenkins,https://www.imdb.com//name/nm0420941/,1971-7-24,"George Air Force Base, Victorville, California, USA"
Gina Prince-Bythewood,https://www.imdb.com//name/nm0697656/,1969-6-10,USA
